Time;NOK;USD;DKK;PLN;SEK
3,56;0,657954119;0,545897195;0,693716891;0,163845062;0,240847839
3,57;0,659681109;0,550888739;0,689323905;0,159988116;0,239020223
3,58;0,661119159;0,555219137;0,685173792;0,156237432;0,237464831
3,59;0,662299175;0,558970459;0,681224793;0,152581562;0,236163203
3,6;0,663240108;0,562232962;0,677452002;0,149016814;0,235081713
3,61;0,663960909;0,565096901;0,673830515;0,145539495;0,234186734
3,62;0,664480529;0,567652534;0,670335427;0,142145914;0,233444639
3,63;0,664817918;0,569990115;0,666941833;0,138832377;0,232821803
3,64;0,664992026;0,572199902;0,663624829;0,135595193;0,232284599
3,65;0,665021805;0,574372149;0,660359508;0,132430669;0,231799399
3,66;0,664926205;0,576597114;0,657120966;0,129335113;0,231332579
3,67;0,664724176;0,578965052;0,653884299;0,126304833;0,23085051
3,68;0,66443467;0,58156622;0,650624601;0,123336136;0,230319568
3,69;0,664076637;0,584490874;0,647316968;0,120425331;0,229706124
3,7;0,663669027;0,587829269;0,643936495;0,117568724;0,228976553
3,71;0,663230791;0,591671662;0,640458276;0,114762624;0,228097228
3,72;0,662779871;0,596105456;0,636860309;0,11200189;0,227035711
3,73;0,662254556;0,600973516;0,633342076;0,109175116;0,225860436
3,74;0,661616606;0,606123216;0,630012808;0,106229407;0,224635052
3,75;0,660876158;0,611526595;0,626838376;0,103186031;0,223370747
3,76;0,660043348;0,617155691;0,623784653;0,100066254;0,22207871
3,77;0,659128315;0,622982543;0,620817508;0,09689134;0,220770129
3,78;0,658141193;0,62897919;0,617902812;0,093682556;0,219456194
3,79;0,657092122;0,635117669;0,615006438;0,090461168;0,218148093
3,8;0,655991236;0,64137002;0,612094256;0,087248441;0,216857015
3,81;0,654848675;0,647708281;0,609132136;0,084065642;0,215594148
3,82;0,653674573;0,654104491;0,606085951;0,080934036;0,214370681
3,83;0,652479068;0,660530688;0,602921572;0,07787489;0,213197803
3,84;0,651272298;0,66695891;0,599604868;0,074909469;0,212086703
3,85;0,650064399;0,673361197;0,596101713;0,072059039;0,211048568
3,86;0,648865507;0,679709587;0,592377975;0,069344866;0,210094589
3,87;0,64768576;0,685976118;0,588399528;0,066788215;0,209235953
3,88;0,646535295;0,692132829;0,584132241;0,064410353;0,208483849
3,89;0,645424249;0,698151759;0,579541987;0,062232546;0,207849466
3,9;0,644362758;0,704004946;0,574594635;0,060276059;0,207343993
3,91;0,64336096;0,709664428;0,569256057;0,058562158;0,206978617
3,92;0,642428992;0,715102245;0,563492125;0,057112109;0,206764529
3,93;0,641576989;0,720290434;0,557268709;0,055947179;0,206712917
3,94;0,64081509;0,725201034;0,55055168;0,055088632;0,206834968
3,95;0,640153431;0,729806085;0,54330691;0,054557735;0,207141873
3,96;0,639602149;0,734077623;0,535500269;0,054375754;0,20764482
3,97;0,63917438;0,737989763;0,527092554;0,054563422;0,208359076
3,98;0,639098077;0,7416798;0,517689709;0,055092533;0,209593607
3,99;0,639463866;0,74523572;0,507157738;0,055925296;0,211475005
4;0,640205734;0,748645958;0,495633131;0,057045167;0,213917607
4,01;0,641257664;0,75189895;0,483252376;0,058435598;0,216835746
4,02;0,642553641;0,754983132;0,470151964;0,060080043;0,220143759
4,03;0,64402765;0,757886939;0,456468384;0,061961957;0,22375598
4,04;0,645613676;0,760598807;0,442338126;0,064064792;0,227586746
4,05;0,647245702;0,763107171;0,42789768;0,066372002;0,231550391
4,06;0,648857715;0,765400468;0,413283534;0,068867042;0,235561251
4,07;0,650383698;0,767467132;0,39863218;0,071533365;0,239533662
4,08;0,651757637;0,769295599;0,384080106;0,074354425;0,243381957
4,09;0,652913516;0,770874306;0,369763802;0,077313675;0,247020474
4,1;0,653785319;0,772191687;0,355819759;0,080394569;0,250363547
4,11;0,654307032;0,773236179;0,342384464;0,083580562;0,253325511
4,12;0,654412639;0,773996216;0,329594409;0,086855106;0,255820703
4,13;0,654036125;0,774460235;0,317586083;0,090201656;0,257763456
4,14;0,653111474;0,774616671;0,306495975;0,093603665;0,259068107
4,15;0,651572672;0,774453959;0,296460575;0,097044587;0,259648991
4,16;0,649334531;0,773904859;0,287564091;0,100577406;0,259440051
4,17;0,64620195;0,772447684;0,279343294;0,104855391;0,258611069
4,18;0,642266743;0,770128021;0,271630238;0,10988781;0,25728116
4,19;0,637688679;0,767160866;0,264391116;0,11547914;0,255525444
4,2;0,632627526;0,763761212;0,257592122;0,121433857;0,253419037
4,21;0,627243053;0,760144057;0,25119945;0,127556436;0,25103706
4,22;0,621695027;0,756524394;0,245179292;0,133651354;0,24845463
4,23;0,616143216;0,753117219;0,239497844;0,139523087;0,245746865
4,24;0,610747391;0,750137527;0,234121298;0,144976111;0,242988884
4,25;0,605667317;0,747800312;0,229015849;0,149814902;0,240255806
4,26;0,600280695;0,745685786;0,224682696;0,154398954;0,237113245
4,27;0,593940782;0,743265123;0,221555822;0,159193087;0,233144351
4,28;0,586770686;0,74058977;0,219500594;0,164159768;0,228450547
4,29;0,578893513;0,737711171;0,218382382;0,169261464;0,223133258
4,3;0,570432368;0,734680771;0,218066552;0,17446064;0,217293907
4,31;0,56151036;0,731550017;0,218418472;0,179719765;0,211033918
4,32;0,552250595;0,728370352;0,21930351;0,185001305;0,204454715
4,33;0,542776179;0,725193223;0,220587034;0,190267725;0,19765772
4,34;0,533210219;0,722070075;0,222134411;0,195481494;0,190744358
4,35;0,523675822;0,719052353;0,22381101;0,200605076;0,183816052
4,36;0,514296094;0,716191502;0,225482197;0,20560094;0,176974226
4,37;0,505194142;0,713538968;0,227013342;0,210431552;0,170320304
4,38;0,496493072;0,711146196;0,228269811;0,215059378;0,163955709
4,39;0,488315992;0,70906463;0,229116972;0,219446884;0,157981865
4,4;0,480786007;0,707345718;0,229420194;0,223556539;0,152500195
4,41;0,473914566;0,706009696;0,229169811;0,227159484;0,147449017
4,42;0,466709897;0,704769853;0,229474804;0,228551225;0,141370297
4,43;0,459137258;0,703554663;0,230364898;0,228145767;0,134339933
4,44;0,451482678;0,702376757;0,231509955;0,226957025;0,126916666
4,45;0,444032186;0,701248763;0,232579839;0,225998912;0,119659242
4,46;0,437071812;0,700183314;0,233244412;0,226285344;0,113126403
4,47;0,430881941;0,699191629;0,233178566;0,228805429;0,10786395
4,48;0,425244498;0,698177646;0,232525815;0,23243306;0,103304108
4,49;0,419904182;0,697090487;0,23153945;0,236117997;0,098887637
4,5;0,414843393;0,695949236;0,230275717;0,239901327;0,094618741
4,51;0,410044532;0,694772973;0,228790865;0,243824132;0,090501621
4,52;0,40549;0,69358078;0,227141138;0,247927499;0,08654048
4,53;0,401162197;0,692391739;0,225382785;0,252252513;0,082739519
4,54;0,397043525;0,691224931;0,223572052;0,256840257;0,079102941
